"Year","Quarter ID","Quarter","State ID","State","Trade Value","Time"
2019,20191,"2019-Q1",16,"Michoacán de Ocampo",622150161,1549000800000
2019,20191,"2019-Q1",18,"Nayarit",367704,1549000800000
2019,20192,"2019-Q2",9,"Ciudad de México",618017,1556686800000
2019,20192,"2019-Q2",14,"Jalisco",47800439,1556686800000
2019,20192,"2019-Q2",15,"Estado de México",2225406,1556686800000
2019,20192,"2019-Q2",16,"Michoacán de Ocampo",846075249,1556686800000
2019,20193,"2019-Q3",9,"Ciudad de México",592557,1564635600000
2019,20193,"2019-Q3",14,"Jalisco",83349599,1564635600000
2019,20193,"2019-Q3",15,"Estado de México",1592441,1564635600000
2019,20193,"2019-Q3",16,"Michoacán de Ocampo",645079946,1564635600000
2019,20194,"2019-Q4",9,"Ciudad de México",1907163,1572588000000
2019,20194,"2019-Q4",14,"Jalisco",63142516,1572588000000
2019,20194,"2019-Q4",15,"Estado de México",1937991,1572588000000
2019,20194,"2019-Q4",16,"Michoacán de Ocampo",698568220,1572588000000
2019,20194,"2019-Q4",18,"Nayarit",1191674,1572588000000
2019,20194,"2019-Q4",19,"Nuevo León",1498904,1572588000000
2019,20194,"2019-Q4",25,"Sinaloa",138401,1572588000000
2020,20201,"2020-Q1",9,"Ciudad de México",1213132,1580536800000
2020,20201,"2020-Q1",14,"Jalisco",56825917,1580536800000
2020,20201,"2020-Q1",15,"Estado de México",2713006,1580536800000
2020,20201,"2020-Q1",16,"Michoacán de Ocampo",858726619,1580536800000
2020,20201,"2020-Q1",19,"Nuevo León",393611,1580536800000
2020,20202,"2020-Q2",9,"Ciudad de México",1894822,1588309200000
2020,20202,"2020-Q2",14,"Jalisco",41956889,1588309200000
2020,20202,"2020-Q2",15,"Estado de México",1761743,1588309200000
2020,20202,"2020-Q2",16,"Michoacán de Ocampo",608824180,1588309200000
2020,20202,"2020-Q2",19,"Nuevo León",1562705,1588309200000
2020,20203,"2020-Q3",2,"Baja California",160199,1596258000000
2020,20203,"2020-Q3",9,"Ciudad de México",1177603,1596258000000
2020,20203,"2020-Q3",14,"Jalisco",62946657,1596258000000
2020,20203,"2020-Q3",15,"Estado de México",1273468,1596258000000
2020,20203,"2020-Q3",16,"Michoacán de Ocampo",499888805,1596258000000
2020,20203,"2020-Q3",17,"Morelos",1180837,1596258000000
2020,20203,"2020-Q3",18,"Nayarit",1571909,1596258000000
2020,20203,"2020-Q3",19,"Nuevo León",3094914,1596258000000
2020,20204,"2020-Q4",6,"Colima",274411,1604210400000
2020,20204,"2020-Q4",9,"Ciudad de México",3009827,1604210400000
2020,20204,"2020-Q4",11,"Guanajuato",75385,1604210400000
2020,20204,"2020-Q4",14,"Jalisco",67937801,1604210400000
2020,20204,"2020-Q4",15,"Estado de México",917775,1604210400000
2020,20204,"2020-Q4",16,"Michoacán de Ocampo",570807286,1604210400000
2020,20204,"2020-Q4",17,"Morelos",603292,1604210400000
2020,20204,"2020-Q4",18,"Nayarit",3640106,1604210400000
2020,20204,"2020-Q4",19,"Nuevo León",3017370,1604210400000
2021,20211,"2021-Q1",6,"Colima",774042,1612159200000
2021,20211,"2021-Q1",9,"Ciudad de México",5322926,1612159200000
2021,20211,"2021-Q1",11,"Guanajuato",72016,1612159200000
2021,20211,"2021-Q1",14,"Jalisco",64556959,1612159200000
2021,20211,"2021-Q1",15,"Estado de México",2538237,1612159200000
2021,20211,"2021-Q1",16,"Michoacán de Ocampo",753061255,1612159200000
2021,20211,"2021-Q1",19,"Nuevo León",1901229,1612159200000
2021,20211,"2021-Q1",22,"Querétaro",380249,1612159200000
2021,20212,"2021-Q2",9,"Ciudad de México",2193190,1619845200000
2021,20212,"2021-Q2",14,"Jalisco",39969611,1619845200000
2021,20212,"2021-Q2",15,"Estado de México",2386372,1619845200000
2021,20212,"2021-Q2",16,"Michoacán de Ocampo",667413446,1619845200000
2021,20212,"2021-Q2",19,"Nuevo León",440244,1619845200000
2021,20213,"2021-Q3",9,"Ciudad de México",891684,1627794000000
2021,20213,"2021-Q3",14,"Jalisco",68941497,1627794000000
2021,20213,"2021-Q3",15,"Estado de México",2210522,1627794000000
2021,20213,"2021-Q3",16,"Michoacán de Ocampo",607911991,1627794000000
2021,20213,"2021-Q3",18,"Nayarit",2914924,1627794000000
2021,20213,"2021-Q3",19,"Nuevo León",1180048,1627794000000
2022,20221,"2022-Q1",9,"Ciudad de México",3457599,1643695200000
2022,20221,"2022-Q1",14,"Jalisco",34595540,1643695200000
2022,20221,"2022-Q1",15,"Estado de México",1598277,1643695200000
2022,20221,"2022-Q1",16,"Michoacán de Ocampo",640776403,1643695200000
2022,20221,"2022-Q1",22,"Querétaro",358708,1643695200000
2022,20222,"2022-Q2",9,"Ciudad de México",2854212,1651381200000
2022,20222,"2022-Q2",14,"Jalisco",42812522,1651381200000
2022,20222,"2022-Q2",15,"Estado de México",2093797,1651381200000
2022,20222,"2022-Q2",16,"Michoacán de Ocampo",760793415,1651381200000
2022,20223,"2022-Q3",9,"Ciudad de México",5789531,1659330000000
2022,20223,"2022-Q3",14,"Jalisco",77369077,1659330000000
2022,20223,"2022-Q3",15,"Estado de México",2082857,1659330000000
2022,20223,"2022-Q3",16,"Michoacán de Ocampo",919834661,1659330000000
2022,20223,"2022-Q3",18,"Nayarit",2684022,1659330000000
2022,20224,"2022-Q4",6,"Colima",1668082,1667282400000
2022,20224,"2022-Q4",9,"Ciudad de México",3730293,1667282400000
2022,20224,"2022-Q4",14,"Jalisco",84540943,1667282400000
2022,20224,"2022-Q4",15,"Estado de México",786106,1667282400000
2022,20224,"2022-Q4",16,"Michoacán de Ocampo",749035880,1667282400000
2022,20224,"2022-Q4",18,"Nayarit",4620514,1667282400000
2023,20231,"2023-Q1",9,"Ciudad de México",4162277,1675231200000
2023,20231,"2023-Q1",14,"Jalisco",48472589,1675231200000
2023,20231,"2023-Q1",15,"Estado de México",2718536,1675231200000
2023,20231,"2023-Q1",16,"Michoacán de Ocampo",792639051,1675231200000
2023,20231,"2023-Q1",18,"Nayarit",1556967,1675231200000
2023,20232,"2023-Q2",6,"Colima",290763,1682920800000
2023,20232,"2023-Q2",9,"Ciudad de México",25294339,1682920800000
2023,20232,"2023-Q2",14,"Jalisco",38960842,1682920800000
2023,20232,"2023-Q2",15,"Estado de México",2355453,1682920800000
2023,20232,"2023-Q2",16,"Michoacán de Ocampo",749436909,1682920800000
2023,20233,"2023-Q3",9,"Ciudad de México",18226342,1690869600000
2023,20233,"2023-Q3",14,"Jalisco",51192956,1690869600000
2023,20233,"2023-Q3",15,"Estado de México",1145437,1690869600000
2023,20233,"2023-Q3",16,"Michoacán de Ocampo",534029616,1690869600000
2023,20233,"2023-Q3",18,"Nayarit",4843833,1690869600000
2023,20233,"2023-Q3",19,"Nuevo León",405282,1690869600000
2023,20234,"2023-Q4",6,"Colima",97185,1698818400000
2023,20234,"2023-Q4",9,"Ciudad de México",5174194,1698818400000
2023,20234,"2023-Q4",14,"Jalisco",78525930,1698818400000
2023,20234,"2023-Q4",15,"Estado de México",2998445,1698818400000
2023,20234,"2023-Q4",16,"Michoacán de Ocampo",785841391,1698818400000
2023,20234,"2023-Q4",18,"Nayarit",6877083,1698818400000
2024,20241,"2024-Q1",9,"Ciudad de México",8296441,1706767200000
2024,20241,"2024-Q1",14,"Jalisco",71452792,1706767200000
2024,20241,"2024-Q1",15,"Estado de México",5305606,1706767200000
2024,20241,"2024-Q1",16,"Michoacán de Ocampo",923570542,1706767200000
2024,20242,"2024-Q2",9,"Ciudad de México",4258995,1714543200000
2024,20242,"2024-Q2",14,"Jalisco",17163862,1714543200000
2024,20242,"2024-Q2",15,"Estado de México",2310413,1714543200000
2024,20242,"2024-Q2",16,"Michoacán de Ocampo",331084049,1714543200000
2024,20242,"2024-Q2",22,"Querétaro",1017878,1714543200000
